"","Date","Time","Buck","MarkedDoe","UnmarkedDoe","Doe_UnknownifMarked","Fawn","UnknownSex","Unknown_UnknownifMarked","UnknownAgeGroup","Comments","TotalAdult","TotalFawn","Location","ICDoe_2019","ControlCollar_Colour","ControlCollar_Tag","ICCollar_Colour","EarTagNumber_2019","EarTagNumber_2020","EarTagColour_2019","EarTagColour2020","ICDoe_2020","Multi_Marked_Comments","TotalMarked","WHID_all","df_year","datetime","year","SiteID"
"1","08-Oct-19","9:03:32",0,0,0,0,0,0,0,0,"",NA,NA,"Site3",0,"","","",NA,NA,"",NA,0,"",NA,"",2019,2019-10-08 09:03:32,2008,"Site03"
"2","08-Oct-19","9:03:33",0,0,0,0,0,0,0,0,"",NA,NA,"Site3",0,"","","",NA,NA,"",NA,0,"",NA,"",2019,2019-10-08 09:03:33,2008,"Site03"
"3","08-Oct-19","9:03:34",0,0,0,0,0,0,0,0,"",NA,NA,"Site3",0,"","","",NA,NA,"",NA,0,"",NA,"",2019,2019-10-08 09:03:34,2008,"Site03"
"4","09-Oct-19","4:17:26",0,0,0,0,0,0,0,0,"",NA,NA,"Site3",0,"","","",NA,NA,"",NA,0,"",NA,"",2019,2019-10-09 04:17:26,2009,"Site03"
"5","09-Oct-19","4:17:26",0,0,0,0,0,0,0,0,"",NA,NA,"Site3",0,"","","",NA,NA,"",NA,0,"",NA,"",2019,2019-10-09 04:17:26,2009,"Site03"
"6","09-Oct-19","4:17:27",0,0,0,0,0,0,0,0,"",NA,NA,"Site3",0,"","","",NA,NA,"",NA,0,"",NA,"",2019,2019-10-09 04:17:27,2009,"Site03"
"7","09-Oct-19","4:17:46",0,0,0,0,0,0,0,0,"",NA,NA,"Site3",0,"","","",NA,NA,"",NA,0,"",NA,"",2019,2019-10-09 04:17:46,2009,"Site03"
"8","09-Oct-19","4:17:47",0,0,0,0,0,0,0,0,"",NA,NA,"Site3",0,"","","",NA,NA,"",NA,0,"",NA,"",2019,2019-10-09 04:17:47,2009,"Site03"
"9","09-Oct-19","4:17:47",0,0,0,0,0,0,0,0,"",NA,NA,"Site3",0,"","","",NA,NA,"",NA,0,"",NA,"",2019,2019-10-09 04:17:47,2009,"Site03"
"10","09-Oct-19","4:37:46",0,0,0,1,0,0,0,0,"",NA,NA,"Site3",0,"","","",NA,NA,"",NA,0,"",NA,"",2019,2019-10-09 04:37:46,2009,"Site03"
"11","09-Oct-19","4:37:47",0,0,0,1,0,0,0,0,"",NA,NA,"Site3",0,"","","",NA,NA,"",NA,0,"",NA,"",2019,2019-10-09 04:37:47,2009,"Site03"
"12","09-Oct-19","4:37:48",0,0,0,1,0,0,0,0,"",NA,NA,"Site3",0,"","","",NA,NA,"",NA,0,"",NA,"",2019,2019-10-09 04:37:48,2009,"Site03"
"13","09-Oct-19","4:37:58",0,0,0,1,0,0,0,0,"",NA,NA,"Site3",0,"","","",NA,NA,"",NA,0,"",NA,"",2019,2019-10-09 04:37:58,2009,"Site03"
"14","09-Oct-19","4:37:58",0,0,0,1,0,0,0,0,"",NA,NA,"Site3",0,"","","",NA,NA,"",NA,0,"",NA,"",2019,2019-10-09 04:37:58,2009,"Site03"
"15","09-Oct-19","4:37:59",0,0,0,1,0,0,0,0,"",NA,NA,"Site3",0,"","","",NA,NA,"",NA,0,"",NA,"",2019,2019-10-09 04:37:59,2009,"Site03"
"16","09-Oct-19","4:39:36",0,0,0,1,0,0,0,0,"",NA,NA,"Site3",0,"","","",NA,NA,"",NA,0,"",NA,"",2019,2019-10-09 04:39:36,2009,"Site03"
"17","09-Oct-19","4:39:36",0,0,0,0,0,0,0,0,"",NA,NA,"Site3",0,"","","",NA,NA,"",NA,0,"",NA,"",2019,2019-10-09 04:39:36,2009,"Site03"
"18","09-Oct-19","4:39:37",0,0,0,0,0,0,0,0,"",NA,NA,"Site3",0,"","","",NA,NA,"",NA,0,"",NA,"",2019,2019-10-09 04:39:37,2009,"Site03"
"19","09-Oct-19","4:41:19",0,0,0,0,0,0,0,0,"",NA,NA,"Site3",0,"","","",NA,NA,"",NA,0,"",NA,"",2019,2019-10-09 04:41:19,2009,"Site03"
